"","X.2","X.1","X","rwr_rank","help_vote","vote","top1","top10","top50","top500","top1000","vine"
"50",50,50,50,631053,1318,1999,NA,NA,NA,NA,NA,"VINE VOICE"
"51",51,51,51,2143661,12,14,NA,NA,NA,NA,NA,NA
"52",52,52,52,33583,170,217,NA,NA,NA,NA,NA,NA
"53",53,53,53,28142929,1,1,NA,NA,NA,NA,NA,NA
"54",54,54,54,452238,66,89,NA,NA,NA,NA,NA,NA
"55",55,55,55,167204,73,79,NA,NA,NA,NA,NA,NA
"56",56,56,56,5146072,3,4,NA,NA,NA,NA,NA,NA
"57",57,57,57,21412346,2,6,NA,NA,NA,NA,NA,NA
"58",58,58,58,34611474,0,3,NA,NA,NA,NA,NA,NA
"59",59,59,59,635595,38,42,NA,NA,NA,NA,NA,NA
"60",60,60,60,2024463,17,31,NA,NA,NA,NA,NA,NA
"61",61,61,61,4220261,1,2,NA,NA,NA,NA,NA,NA
"62",62,62,62,30580914,15,22,NA,NA,NA,NA,NA,NA
"63",63,63,63,2209067,38,48,NA,NA,NA,NA,NA,NA
"64",64,64,64,22786995,2,3,NA,NA,NA,NA,NA,NA
"65",65,65,65,7839,358,424,NA,NA,NA,NA,NA,NA
"66",66,66,66,35096967,2,9,NA,NA,NA,NA,NA,NA
"67",67,67,67,313755,134,154,NA,NA,NA,NA,NA,NA
"68",68,68,68,23885114,0,1,NA,NA,NA,NA,NA,NA
"69",69,69,69,3436784,8,11,NA,NA,NA,NA,NA,NA
"70",70,70,70,3169125,28,30,NA,NA,NA,NA,NA,NA
"71",71,71,71,8174853,1,2,NA,NA,NA,NA,NA,NA
"72",72,72,72,16359333,0,1,NA,NA,NA,NA,NA,NA
"73",73,73,73,35298132,6,26,NA,NA,NA,NA,NA,NA
"74",74,74,74,2089824,19,24,NA,NA,NA,NA,NA,NA
"75",75,75,75,566031,47,58,NA,NA,NA,NA,NA,NA
"76",76,76,76,732171,11,13,NA,NA,NA,NA,NA,NA
"77",77,77,77,5125657,4,7,NA,NA,NA,NA,NA,NA
"78",78,78,78,3528632,1,1,NA,NA,NA,NA,NA,NA
"79",79,79,79,4171572,1,1,NA,NA,NA,NA,NA,NA
"80",80,80,80,12328943,1,1,NA,NA,NA,NA,NA,NA
"81",81,81,81,6125468,1,2,NA,NA,NA,NA,NA,NA
"82",82,82,82,1172506,9,14,NA,NA,NA,NA,NA,NA
"83",83,83,83,1704061,11,19,NA,NA,NA,NA,NA,NA
"84",84,84,84,13426744,3,4,NA,NA,NA,NA,NA,NA
"85",85,85,85,25279559,0,1,NA,NA,NA,NA,NA,NA
"86",86,86,86,568866,181,192,NA,NA,NA,NA,NA,NA
"87",87,87,87,1373,2270,2622,NA,NA,NA,NA,NA,NA
"88",88,88,88,47902,130,147,NA,NA,NA,NA,NA,NA
"89",89,89,89,8424,1409,1770,NA,NA,NA,NA,NA,"VINE VOICE"
"90",90,90,90,4474457,3,4,NA,NA,NA,NA,NA,NA
"91",91,91,91,2127481,8,10,NA,NA,NA,NA,NA,NA
"92",92,92,92,4163270,23,24,NA,NA,NA,NA,NA,NA
"93",93,93,93,2858634,6,9,NA,NA,NA,NA,NA,NA
"94",94,94,94,4933329,2,2,NA,NA,NA,NA,NA,NA
"95",95,95,95,163710,42,50,NA,NA,NA,NA,NA,NA
"96",96,96,96,1186262,21,27,NA,NA,NA,NA,NA,NA
"97",97,97,97,806148,31,35,NA,NA,NA,NA,NA,NA
"98",98,98,98,6796951,5,5,NA,NA,NA,NA,NA,NA
"99",99,99,99,35168407,4,11,NA,NA,NA,NA,NA,NA
"100",100,100,100,107395,106,133,NA,NA,NA,NA,NA,NA
"101",101,101,101,20043520,1,1,NA,NA,NA,NA,NA,NA
"102",102,102,102,816949,30,39,NA,NA,NA,NA,NA,NA
"103",103,103,103,8613589,6,6,NA,NA,NA,NA,NA,NA
"104",104,104,104,1318931,16,18,NA,NA,NA,NA,NA,NA
"105",105,105,105,1537225,8,10,NA,NA,NA,NA,NA,NA
"106",106,106,106,1399078,5,5,NA,NA,NA,NA,NA,NA
"107",107,107,107,7014839,1,1,NA,NA,NA,NA,NA,NA
"108",108,108,108,280867,189,220,NA,NA,NA,NA,NA,NA
"109",109,109,109,1343078,31,60,NA,NA,NA,NA,NA,NA
"110",110,110,110,2882457,11,18,NA,NA,NA,NA,NA,NA
"111",111,111,111,12343272,5,5,NA,NA,NA,NA,NA,NA
"112",112,112,112,20926,262,279,NA,NA,NA,NA,NA,NA
"113",113,113,113,22565509,2,4,NA,NA,NA,NA,NA,NA
"114",114,114,114,8216781,2,5,NA,NA,NA,NA,NA,NA
"115",115,115,115,857455,130,174,NA,NA,NA,NA,NA,NA
"116",116,116,116,417754,44,55,NA,NA,NA,NA,NA,NA
"117",117,117,117,21718301,1,1,NA,NA,NA,NA,NA,NA
"118",118,118,118,2346497,9,9,NA,NA,NA,NA,NA,NA
"119",119,119,119,11081501,2,2,NA,NA,NA,NA,NA,NA
"120",120,120,120,3397478,25,31,NA,NA,NA,NA,NA,NA
"121",121,121,121,34908355,1,9,NA,NA,NA,NA,NA,NA
"122",122,122,122,80355,355,558,NA,NA,NA,NA,NA,NA
"123",123,123,123,53188,184,222,NA,NA,NA,NA,NA,NA
"124",124,124,124,442596,596,621,NA,NA,NA,NA,NA,NA
"125",125,125,125,3842,1391,1703,NA,NA,NA,NA,NA,NA
"126",126,126,126,72894,443,475,NA,NA,NA,NA,NA,NA
"127",127,127,127,2349643,7,11,NA,NA,NA,NA,NA,NA
"128",128,128,128,4473,1061,1168,NA,NA,NA,NA,NA,NA
"129",129,129,129,11732318,1,2,NA,NA,NA,NA,NA,NA
"130",130,130,130,959731,10,12,NA,NA,NA,NA,NA,NA
"131",131,131,131,2814725,2,3,NA,NA,NA,NA,NA,NA
"132",132,132,132,152876,61,84,NA,NA,NA,NA,NA,NA
"133",133,133,133,550953,40,54,NA,NA,NA,NA,NA,NA
"134",134,134,134,15650145,10,11,NA,NA,NA,NA,NA,NA
"135",135,135,135,325153,46,54,NA,NA,NA,NA,NA,NA
"136",136,136,136,2941506,9,16,NA,NA,NA,NA,NA,NA
"137",137,137,137,20255788,2,2,NA,NA,NA,NA,NA,NA
"138",138,138,138,2767382,6,7,NA,NA,NA,NA,NA,NA
"139",139,139,139,1288185,19,20,NA,NA,NA,NA,NA,NA
"140",140,140,140,7498959,24,59,NA,NA,NA,NA,NA,NA
"141",141,141,141,2339,2386,2660,NA,NA,NA,NA,NA,"VINE VOICE"
"142",142,142,142,7934581,10,21,NA,NA,NA,NA,NA,NA
"143",143,143,143,1568097,42,74,NA,NA,NA,NA,NA,NA
"144",144,144,144,266303,142,180,NA,NA,NA,NA,NA,NA
"145",145,145,145,1299694,8,10,NA,NA,NA,NA,NA,NA
"146",146,146,146,301556,30,38,NA,NA,NA,NA,NA,NA
"147",147,147,147,34415681,12,24,NA,NA,NA,NA,NA,NA
"148",148,148,148,1408051,31,47,NA,NA,NA,NA,NA,NA
"149",149,149,149,2281596,24,24,NA,NA,NA,NA,NA,NA
"150",150,150,150,54404,299,346,NA,NA,NA,NA,NA,NA
"151",151,151,151,3431997,8,11,NA,NA,NA,NA,NA,NA
"152",152,152,152,16985866,1,1,NA,NA,NA,NA,NA,NA
"153",153,153,153,8200167,6,7,NA,NA,NA,NA,NA,NA
"154",154,154,154,33556,1001,1081,NA,NA,NA,NA,NA,NA
"155",155,155,155,18598838,1,6,NA,NA,NA,NA,NA,NA
"156",156,156,156,452010,81,120,NA,NA,NA,NA,NA,NA
"157",157,157,157,87419,1424,2021,NA,NA,NA,NA,NA,NA
"158",158,158,158,1078821,11,16,NA,NA,NA,NA,NA,NA
"159",159,159,159,12961989,13,19,NA,NA,NA,NA,NA,NA
"160",160,160,160,1707399,26,36,NA,NA,NA,NA,NA,NA
"161",161,161,161,2836382,7,13,NA,NA,NA,NA,NA,NA
"162",162,162,162,25978645,1,2,NA,NA,NA,NA,NA,NA
"163",163,163,163,40747,121,168,NA,NA,NA,NA,NA,NA
"164",164,164,164,850128,18,23,NA,NA,NA,NA,NA,NA
"165",165,165,165,25142110,0,1,NA,NA,NA,NA,NA,NA
"166",166,166,166,458635,38,46,NA,NA,NA,NA,NA,NA
"167",167,167,167,2237036,3,4,NA,NA,NA,NA,NA,NA
"168",168,168,168,2618663,13,17,NA,NA,NA,NA,NA,NA
"169",169,169,169,5575995,12,14,NA,NA,NA,NA,NA,NA
"170",170,170,170,8492,2754,3514,NA,NA,NA,NA,NA,"VINE VOICE"
"171",171,171,171,415666,24,30,NA,NA,NA,NA,NA,NA
"172",172,172,172,1875410,18,33,NA,NA,NA,NA,NA,NA
"173",173,173,173,21177098,15,20,NA,NA,NA,NA,NA,NA
"174",174,174,174,2960752,13,14,NA,NA,NA,NA,NA,NA
"175",175,175,175,1628414,18,18,NA,NA,NA,NA,NA,NA
"176",176,176,176,235032,45,52,NA,NA,NA,NA,NA,NA
"177",177,177,177,292075,89,97,NA,NA,NA,NA,NA,NA
"178",178,178,178,2533714,4,4,NA,NA,NA,NA,NA,NA
"179",179,179,179,51584,317,371,NA,NA,NA,NA,NA,NA
"180",180,180,180,2468256,6,6,NA,NA,NA,NA,NA,NA
"181",181,181,181,307599,73,89,NA,NA,NA,NA,NA,NA
"182",182,182,182,4288,1402,1699,NA,NA,NA,NA,NA,"VINE VOICE"
"183",183,183,183,2221,4653,5648,NA,NA,NA,NA,NA,NA
"184",184,184,184,262,5675,6361,NA,NA,NA,"TOP 500 REVIEWER<",NA,NA
"185",185,185,185,16015766,1,1,NA,NA,NA,NA,NA,NA
"186",186,186,186,34498,345,390,NA,NA,NA,NA,NA,NA
"187",187,187,187,5734436,2,3,NA,NA,NA,NA,NA,NA
"188",188,188,188,2337646,14,17,NA,NA,NA,NA,NA,NA
"189",189,189,189,182357,78,95,NA,NA,NA,NA,NA,NA
"190",190,190,190,35202013,5,13,NA,NA,NA,NA,NA,NA
"191",191,191,191,2345740,4,5,NA,NA,NA,NA,NA,NA
"192",192,192,192,22734017,1,1,NA,NA,NA,NA,NA,NA
"193",193,193,193,31804,1159,1630,NA,NA,NA,NA,NA,NA
"194",194,194,194,113334,203,223,NA,NA,NA,NA,NA,NA
"195",195,195,195,476124,17,22,NA,NA,NA,NA,NA,NA
"196",196,196,196,16190288,1,1,NA,NA,NA,NA,NA,NA
"197",197,197,197,1388481,566,634,NA,NA,NA,NA,NA,NA
"198",198,198,198,7214349,3,5,NA,NA,NA,NA,NA,NA
"199",199,199,199,7096382,7,7,NA,NA,NA,NA,NA,NA
"200",200,200,200,20556534,1,1,NA,NA,NA,NA,NA,NA
"201",201,201,201,28300782,0,1,NA,NA,NA,NA,NA,NA
"202",202,202,202,21235169,6,13,NA,NA,NA,NA,NA,NA
"203",203,203,203,4466906,2,3,NA,NA,NA,NA,NA,NA
"204",204,204,204,565968,60,74,NA,NA,NA,NA,NA,NA
"205",205,205,205,17737260,1,3,NA,NA,NA,NA,NA,NA
"206",206,206,206,377739,764,875,NA,NA,NA,NA,NA,NA
"207",207,207,207,1250510,25,42,NA,NA,NA,NA,NA,NA
"208",208,208,208,1150054,38,56,NA,NA,NA,NA,NA,NA
"209",209,209,209,14934417,7,12,NA,NA,NA,NA,NA,NA
"210",210,210,210,2111635,19,27,NA,NA,NA,NA,NA,NA
"211",211,211,211,16753526,5,5,NA,NA,NA,NA,NA,NA
"212",212,212,212,3578,1621,1908,NA,NA,NA,NA,NA,"VINE VOICE"
"213",213,213,213,35008571,2,7,NA,NA,NA,NA,NA,NA
"214",214,214,214,116408,185,220,NA,NA,NA,NA,NA,NA
"215",215,215,215,250850,160,217,NA,NA,NA,NA,NA,NA
"216",216,216,216,17357105,2,2,NA,NA,NA,NA,NA,NA
"217",217,217,217,171896,66,80,NA,NA,NA,NA,NA,NA
"218",218,218,218,9975001,1,3,NA,NA,NA,NA,NA,NA
"219",219,219,219,231586,129,160,NA,NA,NA,NA,NA,NA
"220",220,220,220,34315279,3,7,NA,NA,NA,NA,NA,NA
"221",221,221,221,450333,51,62,NA,NA,NA,NA,NA,NA
"222",222,222,222,31640148,0,3,NA,NA,NA,NA,NA,NA
"223",223,223,223,1970615,34,52,NA,NA,NA,NA,NA,NA
"224",224,224,224,3093857,3,3,NA,NA,NA,NA,NA,NA
"225",225,225,225,55940,131,158,NA,NA,NA,NA,NA,NA
"226",226,226,226,3548576,3,3,NA,NA,NA,NA,NA,NA
"227",227,227,227,10391763,21,26,NA,NA,NA,NA,NA,NA
"228",228,228,228,10014595,3,5,NA,NA,NA,NA,NA,NA
"229",229,229,229,5225610,2,2,NA,NA,NA,NA,NA,NA
"230",230,230,230,1048876,26,29,NA,NA,NA,NA,NA,NA
"231",231,231,231,2099126,16,20,NA,NA,NA,NA,NA,NA
"232",232,232,232,1089067,39,46,NA,NA,NA,NA,NA,NA
"233",233,233,233,2231299,8,9,NA,NA,NA,NA,NA,NA
"234",234,234,234,5055460,1,1,NA,NA,NA,NA,NA,NA
"235",235,235,235,313163,163,196,NA,NA,NA,NA,NA,NA
"236",236,236,236,34868509,1,6,NA,NA,NA,NA,NA,NA
"237",237,237,237,1260438,7,7,NA,NA,NA,NA,NA,NA
"238",238,238,238,1066098,41,61,NA,NA,NA,NA,NA,NA
"239",239,239,239,9769430,2,2,NA,NA,NA,NA,NA,NA
"240",240,240,240,10495034,3,3,NA,NA,NA,NA,NA,NA
"241",241,241,241,226427,102,111,NA,NA,NA,NA,NA,NA
"242",242,242,242,2067880,4,6,NA,NA,NA,NA,NA,NA
"243",243,243,243,511665,11,15,NA,NA,NA,NA,NA,NA
"244",244,244,244,5977645,24,25,NA,NA,NA,NA,NA,NA
"245",245,245,245,21565177,1,1,NA,NA,NA,NA,NA,NA
"246",246,246,246,129632,141,157,NA,NA,NA,NA,NA,NA
"247",247,247,247,149665,33,40,NA,NA,NA,NA,NA,NA
"248",248,248,248,7383119,1,2,NA,NA,NA,NA,NA,NA
"249",249,249,249,22063657,1,1,NA,NA,NA,NA,NA,NA
"250",250,250,250,3756244,4,8,NA,NA,NA,NA,NA,NA
"251",251,251,251,30619,586,623,NA,NA,NA,NA,NA,NA
"252",252,252,252,5169157,5,7,NA,NA,NA,NA,NA,NA
"253",253,253,253,20197142,9,13,NA,NA,NA,NA,NA,NA
"254",254,254,254,731583,47,52,NA,NA,NA,NA,NA,NA
"255",255,255,255,51975,205,289,NA,NA,NA,NA,NA,"VINE VOICE"
"256",256,256,256,406990,44,55,NA,NA,NA,NA,NA,NA
"257",257,257,257,8040861,7,9,NA,NA,NA,NA,NA,NA
"258",258,258,258,12216070,2,6,NA,NA,NA,NA,NA,NA
"259",259,259,259,391,2986,3171,NA,NA,NA,"TOP 500 REVIEWER<",NA,"VINE VOICE"
"260",260,260,260,11290128,1,2,NA,NA,NA,NA,NA,NA
"261",261,261,261,1353236,17,29,NA,NA,NA,NA,NA,NA
"262",262,262,262,11867992,2,2,NA,NA,NA,NA,NA,NA
"263",263,263,263,6636878,1,3,NA,NA,NA,NA,NA,NA
"264",264,264,264,11958825,0,2,NA,NA,NA,NA,NA,NA
"265",265,265,265,6062839,1,3,NA,NA,NA,NA,NA,NA
"266",266,266,266,3673636,3,3,NA,NA,NA,NA,NA,NA
"267",267,267,267,525783,51,70,NA,NA,NA,NA,NA,NA
"268",268,268,268,425940,46,52,NA,NA,NA,NA,NA,NA
"269",269,269,269,503140,43,48,NA,NA,NA,NA,NA,NA
"270",270,270,270,1490156,12,12,NA,NA,NA,NA,NA,NA
"271",271,271,271,2190990,11,19,NA,NA,NA,NA,NA,NA
"272",272,272,272,21082484,1,1,NA,NA,NA,NA,NA,NA
"273",273,273,273,12498594,1,1,NA,NA,NA,NA,NA,NA
"274",274,274,274,28444362,0,4,NA,NA,NA,NA,NA,NA
"275",275,275,275,1968478,20,21,NA,NA,NA,NA,NA,NA
"276",276,276,276,305082,69,93,NA,NA,NA,NA,NA,NA
"277",277,277,277,17000,837,1085,NA,NA,NA,NA,NA,NA
"278",278,278,278,777552,9,15,NA,NA,NA,NA,NA,NA
"279",279,279,279,2305089,7,12,NA,NA,NA,NA,NA,NA
"280",280,280,280,1258607,9,9,NA,NA,NA,NA,NA,NA
"281",281,281,281,81375,82,85,NA,NA,NA,NA,NA,NA
"282",282,282,282,2227193,8,8,NA,NA,NA,NA,NA,NA
"283",283,283,283,34618361,1,4,NA,NA,NA,NA,NA,NA
"284",284,284,284,8609023,1,2,NA,NA,NA,NA,NA,NA
"285",285,285,285,35263090,183,422,NA,NA,NA,NA,NA,NA
"286",286,286,286,4283,1001,1201,NA,NA,NA,NA,NA,"VINE VOICE"
"287",287,287,287,2363195,19,46,NA,NA,NA,NA,NA,NA
"288",288,288,288,23359247,0,3,NA,NA,NA,NA,NA,NA
"289",289,289,289,7813432,1,1,NA,NA,NA,NA,NA,NA
"290",290,290,290,990210,85,88,NA,NA,NA,NA,NA,NA
"291",291,291,291,2319994,10,13,NA,NA,NA,NA,NA,NA
"292",292,292,292,17327783,3,3,NA,NA,NA,NA,NA,NA
"293",293,293,293,3006205,5,5,NA,NA,NA,NA,NA,NA
"294",294,294,294,6199011,1,3,NA,NA,NA,NA,NA,NA
"295",295,295,295,2206022,59,67,NA,NA,NA,NA,NA,NA
"296",296,296,296,216660,89,104,NA,NA,NA,NA,NA,NA
"297",297,297,297,34775951,0,5,NA,NA,NA,NA,NA,NA
"298",298,298,298,26166422,0,1,NA,NA,NA,NA,NA,NA
"299",299,299,299,34876345,20,37,NA,NA,NA,NA,NA,NA
"300",300,300,300,86234,78,100,NA,NA,NA,NA,NA,NA
"301",301,301,301,3538938,5,5,NA,NA,NA,NA,NA,NA
"302",302,302,302,695258,24,28,NA,NA,NA,NA,NA,NA
"303",303,303,303,534,5435,6133,NA,NA,NA,NA,"TOP 1000 REVIEWER<","VINE VOICE"
"304",304,304,304,26744924,0,1,NA,NA,NA,NA,NA,NA
"305",305,305,305,456581,15,19,NA,NA,NA,NA,NA,NA
"306",306,306,306,23718432,0,2,NA,NA,NA,NA,NA,NA
"307",307,307,307,3215693,8,8,NA,NA,NA,NA,NA,NA
"308",308,308,308,4624478,6,8,NA,NA,NA,NA,NA,NA
"309",309,309,309,10748264,5,6,NA,NA,NA,NA,NA,NA
"310",310,310,310,23570847,9,9,NA,NA,NA,NA,NA,NA
"311",311,311,311,382524,52,60,NA,NA,NA,NA,NA,NA
"312",312,312,312,2656883,11,13,NA,NA,NA,NA,NA,NA
"313",313,313,313,5217553,2,3,NA,NA,NA,NA,NA,NA
"314",314,314,314,6110377,12,12,NA,NA,NA,NA,NA,NA
"315",315,315,315,35223412,12,24,NA,NA,NA,NA,NA,NA
"316",316,316,316,227529,153,177,NA,NA,NA,NA,NA,NA
"317",317,317,317,286099,57,69,NA,NA,NA,NA,NA,NA
"318",318,318,318,22682672,1,1,NA,NA,NA,NA,NA,NA
"319",319,319,319,8278974,2,2,NA,NA,NA,NA,NA,NA
"320",320,320,320,8567703,6,10,NA,NA,NA,NA,NA,NA
"321",321,321,321,3233565,16,21,NA,NA,NA,NA,NA,NA
"322",322,322,322,555776,123,168,NA,NA,NA,NA,NA,NA
"323",323,323,323,1798751,11,12,NA,NA,NA,NA,NA,NA
"324",324,324,324,1855344,18,18,NA,NA,NA,NA,NA,NA
"325",325,325,325,230842,44,50,NA,NA,NA,NA,NA,NA
"326",326,326,326,34392504,6,12,NA,NA,NA,NA,NA,NA
"327",327,327,327,34563345,0,3,NA,NA,NA,NA,NA,NA
"328",328,328,328,4749,1596,2099,NA,NA,NA,NA,NA,"VINE VOICE"
"329",329,329,329,24728124,1,1,NA,NA,NA,NA,NA,NA
"330",330,330,330,3843962,4,6,NA,NA,NA,NA,NA,NA
"331",331,331,331,37745,158,195,NA,NA,NA,NA,NA,NA
"332",332,332,332,2041576,13,18,NA,NA,NA,NA,NA,NA
"333",333,333,333,2306310,9,10,NA,NA,NA,NA,NA,NA
"334",334,334,334,311892,48,57,NA,NA,NA,NA,NA,NA
"335",335,335,335,1388467,211,229,NA,NA,NA,NA,NA,NA
"336",336,336,336,12102222,0,1,NA,NA,NA,NA,NA,NA
"337",337,337,337,15575573,5,18,NA,NA,NA,NA,NA,NA
"338",338,338,338,12298198,1,1,NA,NA,NA,NA,NA,NA
"339",339,339,339,34646720,0,2,NA,NA,NA,NA,NA,NA
"340",340,340,340,1840443,15,28,NA,NA,NA,NA,NA,NA
"341",341,341,341,1157526,8,10,NA,NA,NA,NA,NA,NA
"342",342,342,342,6302,1207,1416,NA,NA,NA,NA,NA,NA
"343",343,343,343,148512,100,118,NA,NA,NA,NA,NA,NA
"344",344,344,344,382554,36,50,NA,NA,NA,NA,NA,NA
"345",345,345,345,47595,244,269,NA,NA,NA,NA,NA,NA
"346",346,346,346,34550361,1,4,NA,NA,NA,NA,NA,NA
"347",347,347,347,2581492,4,8,NA,NA,NA,NA,NA,NA
"348",348,348,348,1185252,69,79,NA,NA,NA,NA,NA,NA
"349",349,349,349,4841334,35,43,NA,NA,NA,NA,NA,NA
"350",350,350,350,35094847,23,36,NA,NA,NA,NA,NA,NA
"351",351,351,351,25986338,1,2,NA,NA,NA,NA,NA,NA
"352",352,352,352,152184,49,65,NA,NA,NA,NA,NA,NA
"353",353,353,353,1047265,26,41,NA,NA,NA,NA,NA,NA
"354",354,354,354,1201,2059,2340,NA,NA,NA,NA,NA,"VINE VOICE"
"355",355,355,355,9553148,1,1,NA,NA,NA,NA,NA,NA
"356",356,356,356,28323277,0,2,NA,NA,NA,NA,NA,NA
"357",357,357,357,4515679,8,11,NA,NA,NA,NA,NA,NA
"358",358,358,358,5033442,1,2,NA,NA,NA,NA,NA,NA
"359",359,359,359,372743,290,337,NA,NA,NA,NA,NA,NA
"360",360,360,360,17286,918,1292,NA,NA,NA,NA,NA,NA
"361",361,361,361,34022566,1,3,NA,NA,NA,NA,NA,NA
"362",362,362,362,60230,134,146,NA,NA,NA,NA,NA,NA
"363",363,363,363,489339,29,40,NA,NA,NA,NA,NA,NA
"364",364,364,364,20245942,3,4,NA,NA,NA,NA,NA,NA
"365",365,365,365,6781029,2,2,NA,NA,NA,NA,NA,NA
"366",366,366,366,26820035,1,1,NA,NA,NA,NA,NA,NA
"367",367,367,367,79936,121,136,NA,NA,NA,NA,NA,NA
"368",368,368,368,84985,307,344,NA,NA,NA,NA,NA,NA
"369",369,369,369,22783807,1,2,NA,NA,NA,NA,NA,NA
"370",370,370,370,7272326,2,2,NA,NA,NA,NA,NA,NA
"371",371,371,371,2089288,60,64,NA,NA,NA,NA,NA,NA
"372",372,372,372,27207533,0,1,NA,NA,NA,NA,NA,NA
"373",373,373,373,25274647,0,1,NA,NA,NA,NA,NA,NA
"374",374,374,374,25065606,0,1,NA,NA,NA,NA,NA,NA
"375",375,375,375,11761330,2,4,NA,NA,NA,NA,NA,NA
"376",376,376,376,22091967,5,7,NA,NA,NA,NA,NA,NA
"377",377,377,377,35000082,3,8,NA,NA,NA,NA,NA,NA
"378",378,378,378,3469320,14,18,NA,NA,NA,NA,NA,NA
"379",379,379,379,24666171,1,3,NA,NA,NA,NA,NA,NA
"380",380,380,380,24549252,12,14,NA,NA,NA,NA,NA,NA
"381",381,381,381,2761461,14,17,NA,NA,NA,NA,NA,NA
"382",382,382,382,2756443,18,18,NA,NA,NA,NA,NA,NA
"383",383,383,383,23678145,7,11,NA,NA,NA,NA,NA,NA
"384",384,384,384,11670326,1,3,NA,NA,NA,NA,NA,NA
"385",385,385,385,7909634,9,15,NA,NA,NA,NA,NA,NA
"386",386,386,386,17686817,1,1,NA,NA,NA,NA,NA,NA
"387",387,387,387,71654,202,309,NA,NA,NA,NA,NA,NA
"388",388,388,388,12412326,5,11,NA,NA,NA,NA,NA,NA
"389",389,389,389,1795672,26,36,NA,NA,NA,NA,NA,NA
"390",390,390,390,4183688,18,20,NA,NA,NA,NA,NA,NA
"391",391,391,391,4983302,4,4,NA,NA,NA,NA,NA,NA
"392",392,392,392,34216120,0,2,NA,NA,NA,NA,NA,NA
"393",393,393,393,1436679,13,21,NA,NA,NA,NA,NA,NA
"394",394,394,394,20175348,0,9,NA,NA,NA,NA,NA,NA
"395",395,395,395,7011,1135,1210,NA,NA,NA,NA,NA,"VINE VOICE"
